name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
TCS,3.8,71k,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +330 more
Accenture,4.0,45k,IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Dublin +165 more
Cognizant,3.9,40.5k,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Teaneck. New Jersey. +150 more
Wipro,3.8,38.1k,IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Bangalore/Bengaluru +269 more
HDFC Bank,3.9,32.7k,Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1498 more
ICICI Bank,4.0,32.5k,Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1251 more
Infosys,3.8,30.8k,IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Bengaluru/Bangalore +166 more
Capgemini,3.8,28.6k,IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Paris +118 more
HCLTech,3.6,27.5k,IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Noida +174 more
Tech Mahindra,3.7,26.7k,IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Pune +253 more
Genpact,3.9,25.4k,IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , New York +101 more
Axis Bank,3.8,21.3k,Banking , 50k-1 Lakh Employees , Public , 31 years old , Mumbai +1270 more
Concentrix Corporation,3.9,21.1k,BPO , 50k-1 Lakh Employees , Public , 41 years old , Fremont +108 more
Amazon,4.1,20.2k,Internet , 1 Lakh+ Employees , Public , 30 years old , Seattle +426 more
Teleperformance,3.6,20.1k,BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Paris +166 more
Reliance Jio,4.0,20k,Telecom , 50k-1 Lakh Employees , Public , 17 years old , Navi Mumbai +1155 more
IBM,4.1,19.2k,Software Product , 1 Lakh+ Employees , Public , 113 years old , Armonk +142 more
Larsen & Toubro Limited,4.0,18.2k,Engineering & Construction , 10k-50k Employees , Public , 86 years old , Mumbai +622 more
Reliance Retail,3.9,18k,Retail , 1 Lakh+ Employees , 18 years old ," Navi Mumbai +965 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal",
HDB Financial Services,4.0,17.4k,NBFC , 1 Lakh+ Employees , 17 years old ," Ahmedabad +928 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Skill Development / Learning, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Vodafone Idea,4.2,15.1k,5k-10k Employees , Public , 6 years old ," Mumbai +627 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
BYJU'S,3.1,14.2k,EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +299 more
Deloitte,3.9,14k,Management Consulting , 1 Lakh+ Employees , 179 years old ," London +153 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",
Kotak Mahindra Bank,3.8,13.7k,Banking , 50k-1 Lakh Employees , Public , 21 years old , Mumbai +554 more
Reliance Industries,4.0,13.2k,Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Navi Mumbai +647 more
Bharti Airtel,4.0,11.8k,Telecom , 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +634 more
iEnergizer,4.6,11.1k,BPO , 10k-50k Employees , 24 years old ," Noida +25 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Tata Motors,4.2,10.9k,Automobile , 10k-50k Employees , Public , 79 years old , Pune +449 more
Flipkart,4.1,9.5k,Internet , 10k-50k Employees , Public , 17 years old , Bangalore +523 more
WNS,3.5,9.4k,BPO , 10k-50k Employees , 28 years old ," Mumbai +33 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
IndusInd Bank,3.7,8.9k,Banking , 10k-50k Employees , Public , 30 years old , Gurgaon/Gurugram +668 more
